symbol,name,image,current_price,market_cap,market_cap_rank,circulating_supply
btc,Bitcoin,https://assets.coingecko.com/coins/images/1/large/bitcoin.png?1547033579,49538.0,925839705122,1,18710543.0
eth,Ethereum,https://assets.coingecko.com/coins/images/279/large/ethereum.png?1595348880,4028.45,466506739790,2,115879861.249
bnb,Binance Coin,https://assets.coingecko.com/coins/images/825/large/binance-coin-logo.png?1547034615,595.95,91927564896,3,154533651.9
ada,Cardano,https://assets.coingecko.com/coins/images/975/large/cardano.png?1547034860,2.16,69343957559,4,32066390668.4135
doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.534998,69334001074,5,129596729140.737
xrp,XRP,https://assets.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1605778731,1.39,63869107224,6,46045552519.0
usdt,Tether,https://assets.coingecko.com/coins/images/325/large/Tether-logo.png?1598003707,0.999774,58399621027,7,58412799122.9229
dot,Polkadot,https://assets.coingecko.com/coins/images/12171/large/aJGBjJFU_400x400.jpg?1597804776,48.13,47665981597,8,992602550.75594
bch,Bitcoin Cash,https://assets.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1594689492,1289.29,24158415137,9,18737824.8967895
uni,Uniswap,https://assets.coingecko.com/coins/images/12504/large/uniswap-uni.png?1600306604,41.57,21537737461,10,519857388.1320768
ltc,Litecoin,https://assets.coingecko.com/coins/images/2/large/litecoin.png?1547033580,322.52,21528880383,11,66752414.5153875
link,Chainlink,https://assets.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1547034700,46.76,19900311681,12,426509553.9174637
usdc,USD Coin,https://assets.coingecko.com/coins/images/6319/large/USD_Coin_icon.png?1547042389,1.0,16337420555,13,16304919333.9142
xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.681908,15740404221,14,23125356439.5599
etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,106.95,13588737373,15,127267711.411673
vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,0.183888,11936010505,16,64968961033.0
sol,Solana,https://assets.coingecko.com/coins/images/4128/large/coinmarketcap-solana-200.png?1616489452,41.82,11391364774,17,272637122.50492
eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,11.11,10579826179,19,957244506.0208
matic,Polygon,https://assets.coingecko.com/coins/images/4713/large/matic___polygon.jpg?1612939050,1.73,10571506412,18,6113590937.0
theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,9.87,9872084742,20,1000000000.0
okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,33.89,9130894126,21,269444871.26
shib,Shiba Inu,https://assets.coingecko.com/coins/images/11939/large/SHIBLOGO.png?1600752116,1.823e-05,8967008555,22,497712924009868.8
trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.123285,8834599478,23,71660220128.0
wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,49504.0,8659512205,24,174965.14303022
fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,119.82,8446191012,25,70758773.0
busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,1.0,7881891919,26,7885638206.14
xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,413.88,7412504652,28,17909712.4566079
aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,580.01,7406207755,27,12749395.283217192
neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,98.87,6959034682,29,70530000.0
atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,27.07,6450479933,30,238526146.88641
ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,80.44,6349238917,31,78634013.2524153
bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,333.77,6252546123,32,18733114.144239
luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,16.24,6221207327,34,383564742.98013
klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,2.55,6209151167,33,2463934951.2
ht,Huobi Token,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,33.52,6006766979,35,179285916.25441208
miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,1.91,5319767962,36,2779530283.277761
safemoon,SafeMoon,https://assets.coingecko.com/coins/images/14362/large/174x174-white.png?1617174846,9.02e-06,5273971682,38,584753342311285.2
ksm,Kusama,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080,587.23,5273391388,37,8980098.074112339
xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,6.26,5202465965,39,831701654.143632
cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/IMG_0440.PNG?1602654093,31.13,5202234567,40,167339825.372217
ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,57.67,5061702947,41,87815623.20166124
AVAX,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,38.07,4906395238,42,128903596.29426
dai,Dai,https://assets.coingecko.com/coins/images/9956/large/dai-multi-collateral-mcd.png?1574218774,0.994448,4588330349,43,4613947114.02098
rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/RUNE.png?1614160507,18.93,4535425207,44,239938033.52691227
mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,4948.18,4459851962,45,901310.9472893132
algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,1.45,4391306778,46,3038658864.05768
cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.02148176,4219237452,47,197484656846.215
cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,0.166025,4194000990,48,25263013692.0
cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.02206448,4032095832,49,183163041712.136
btt,BitTorrent,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995,0.00608987,4013371781,50,659071882049.0
comp,Compound,https://assets.coingecko.com/coins/images/10775/large/COMP.png?1592625425,753.43,3876601077,51,5147336.159362616
dash,Dash,https://assets.coingecko.com/coins/images/19/large/dash-logo.png?1548385930,367.54,3718492474,52,10131373.6327746
zec,Zcash,https://assets.coingecko.com/coins/images/486/large/circle-zcash-color.png?1547034197,305.14,3373682763,53,11095328.0693336
snx,Synthetix Network Token,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1598631139,21.94,3363740605,54,153153637.76738194
leo,LEO Token,https://assets.coingecko.com/coins/images/8418/large/leo-token.png?1558326215,3.39,3232786268,55,953607633.9
waves,Waves,https://assets.coingecko.com/coins/images/425/large/waves.png?1548386117,32.31,3228845320,56,100000000.0
sushi,Sushi,https://assets.coingecko.com/coins/images/12271/large/512x512_Logo_no_chop.png?1606986688,18.18,3057571197,57,168168189.40916947
egld,Elrond,https://assets.coingecko.com/coins/images/12335/large/Elrond.png?1599132180,164.68,2905352337,58,17684416.0
xem,NEM,https://assets.coingecko.com/coins/images/242/large/NEM_Logo_256x256.png?1598687029,0.320775,2844762688,59,8999999999.0
cel,Celsius Network,https://assets.coingecko.com/coins/images/3263/large/CEL_logo.png?1609598753,7.25,2775845834,60,383306566.4471
near,Near,https://assets.coingecko.com/coins/images/10365/large/near_icon.png?1601359077,7.07,2720601080,61,376764801.0
yfi,yearn.finance,https://assets.coingecko.com/coins/images/11849/large/yfi-192x192.png?1598325330,73501.0,2650225533,62,36096.410289287385
hbar,Hedera Hashgraph,https://assets.coingecko.com/coins/images/3688/large/mqTDGK7Q.png?1566256777,0.320717,2649611587,63,8261516280.0
dcr,Decred,https://assets.coingecko.com/coins/images/329/large/decred.png?1547034093,197.37,2547311317,64,12926833.6353033
amp,Amp,https://assets.coingecko.com/coins/images/12409/large/amp-200x200.png?1599625397,0.066923,2452120355,65,36271610691.6604
chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/Chiliz.png?1561970540,0.452844,2417683309,66,5344064580.0
tel,Telcoin,https://assets.coingecko.com/coins/images/1899/large/tel.png?1547036203,0.04370625,2391425782,67,54869406904.06
zil,Zilliqa,https://assets.coingecko.com/coins/images/2687/large/Zilliqa-logo.png?1547036894,0.196858,2382332973,68,12034509301.4738
qtum,Qtum,https://assets.coingecko.com/coins/images/684/large/qtum.png?1547034438,21.26,2198473790,69,103400445.0
nexo,NEXO,https://assets.coingecko.com/coins/images/3695/large/nexo.png?1548086057,3.78,2118797372,70,560000010.0064
ust,TerraUSD,https://assets.coingecko.com/coins/images/12681/large/UST.png?1601612407,0.99978,2092173392,71,2094220077.58113
hot,Holo,https://assets.coingecko.com/coins/images/3348/large/Holologo_Profile.png?1547037966,0.01158097,2053724728,72,177619433541.141
enj,Enjin Coin,https://assets.coingecko.com/coins/images/1102/large/enjin-coin-logo.png?1547035078,2.11,1968501501,73,934313756.7192237
grt,The Graph,https://assets.coingecko.com/coins/images/13397/large/Graph_Token.png?1608145566,1.5,1837561431,74,1224999438.0
btg,Bitcoin Gold,https://assets.coingecko.com/coins/images/1043/large/bitcoin-gold-logo.png?1547034978,103.2,1803872442,75,17513924.0
ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom.png?1558015016,0.709657,1803346475,77,2541152731.01
bat,Basic Attention Token,https://assets.coingecko.com/coins/images/677/large/basic-attention-token.png?1547034427,1.21,1801619588,76,1495731132.225825
ont,Ontology,https://assets.coingecko.com/coins/images/3447/large/ONT.png?1583481820,2.13,1748012682,78,822113544.0
stx,Stacks,https://assets.coingecko.com/coins/images/2069/large/Stacks_logo_full.png?1604112510,1.64,1728410545,79,1052561461.68777
mana,Decentraland,https://assets.coingecko.com/coins/images/878/large/decentraland-mana.png?1550108745,1.27,1689149636,80,1327372145.9864838
dgb,DigiByte,https://assets.coingecko.com/coins/images/63/large/digibyte.png?1547033717,0.116817,1671288057,81,14309285100.0168
